City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Hammerfest,NO,70.6634,23.6821,54.05,87,75,3.44,broken clouds
334,Turukhansk,RU,65.8167,87.9833,48.4,74,78,4.03,broken clouds
335,San Patricio,US,28.017,-97.5169,100.17,46,9,20.07,clear sky
336,Talcahuano,CL,-36.7167,-73.1167,50.36,73,0,7.63,clear sky
337,Promyshlennaya,RU,54.9159,85.6385,54.55,90,23,4.9,few clouds
338,Ust-Tsilma,RU,65.441,52.1498,60.85,65,77,4.29,broken clouds
339,Teknaf,BD,20.8624,92.3058,79.97,88,100,4.79,light rain
340,Selma,US,36.5708,-119.6121,100.63,34,0,8.05,clear sky
341,Uthal,PK,25.8072,66.6219,82.45,86,78,5.12,broken clouds
342,Finschhafen,PG,-6.6024,147.8681,80.78,74,27,10.42,scattered clouds
343,Mount Gambier,AU,-37.8333,140.7667,52.95,79,98,15.95,light rain
